date,theme,season,feast,description,class,liturgical-colour,translated,spb,emberogation,bishop,year-from,year-to,rcl,daily
18/11/2021,white,Pentecost,St Fergus,"Bishop, c.750",6,White,,,,,2020,2021,B,1
19/11/2021,white,Pentecost,St Hilda of Whitby,"Abbess, 680",6,White,,,,,2020,2021,B,1
20/11/2021,green,Pentecost,Saturday after Pentecost 25,Feria,,Green,,,,,2020,2021,B,1
21/11/2021,white,Pentecost,The Last Sunday after Pentecost,Christ the King,3,White or Red,,SPB Sunday next before Advent,,,2020,2021,B,1
22/11/2021,white,Pentecost,St Cecilia,"Martyr, c.230",6,White,,,,,2020,2021,B,1
23/11/2021,red,Pentecost,St Clement of Rome,"Bishop and Martyr, c.100",6,Red,,,,,2020,2021,B,1
24/11/2021,white,Pentecost,Lucy Menzies,"Scholar and Mystic, 1954",6,White,,,,,2020,2021,B,1
25/11/2021,white,Pentecost,St Columban,"Bishop, 615",6,White,Translated from 21 November,,,,2020,2021,B,1
26/11/2021,green,Pentecost,Friday after the Last Sunday after Pentecost,Feria,,Green,,,,,2020,2021,B,1
27/11/2021,green,Pentecost,Saturday after the Last Sunday after Pentecost,Feria,,Green,,,,,2020,2021,B,1
28/11/2021,violet,Advent,First Sunday of Advent,Advent 1,1,Violet,,,,,2021,2022,C,2
29/11/2021,violet,Advent,Monday after First Sunday of Advent,Feria,,Violet,,,,,2021,2022,C,2
30/11/2021,red,Advent,St Andrew,Apostle and Patron of Scotland,4,Red,,,,,2021,2022,C,2
01/12/2021,white,Advent,Charles de Foucauld,"Priest and Hermit, 1916",6,White,,,,,2021,2022,C,2
02/12/2021,white,Advent,Nicholas Ferrar,"Deacon, 1637",6,White,,,,,2021,2022,C,2
03/12/2021,white,Advent,Francis Xavier,"Priest and Missionary, 1552",6,White,,,,,2021,2022,C,2
04/12/2021,white,Advent,St Clement of Alexandria,"Teacher of the Faith, c.214",6,White,,,,,2021,2022,C,2
05/12/2021,violet,Advent,Second Sunday of Advent,Advent 2,1,Violet,,,,,2021,2022,C,2
06/12/2021,white,Advent,St Nicholas of Myra,"Bishop, 4th century",6,White,,,,,2021,2022,C,2
07/12/2021,white,Advent,St Ambrose of Milan,"Bishop and Teacher of the Faith, 397",6,White,,,,,2021,2022,C,2
08/12/2021,white,Advent,The Conception of St Mary,Mother of the Lord,5,White,,,,,2021,2022,C,2
09/12/2021,violet,Advent,Thursday after Second Sunday of Advent,Feria,,Violet,,,,,2021,2022,C,2
10/12/2021,violet,Advent,Friday after Second Sunday of Advent,Feria,,Violet,,,,,2021,2022,C,2
11/12/2021,violet,Advent,Saturday after Second Sunday of Advent,Feria,,Violet,,,,,2021,2022,C,2
12/12/2021,violet,Advent,Third Sunday of Advent,Advent 3,1,Violet,,,,,2021,2022,C,2
13/12/2021,violet,Advent,Monday after Third Sunday of Advent,Feria,,Violet,,,,,2021,2022,C,2
14/12/2021,white,Advent,St John of the Cross,"Priest and Teacher of the Faith, 1591",6,White,,,,,2021,2022,C,2
15/12/2021,violet,Advent,Wednesday after Third Sunday of Advent,Feria,,Violet,,,Ember Day,,2021,2022,C,2
16/12/2021,violet,Advent,Thursday after Third Sunday of Advent,Feria,,Violet,,,,,2021,2022,C,2
17/12/2021,violet,Advent,Friday after Third Sunday of Advent,Feria,,Violet,,,Ember Day,,2021,2022,C,2
18/12/2021,violet,Advent,Saturday after Third Sunday of Advent,Feria,,Violet,,,Ember Day,,2021,2022,C,2
19/12/2021,violet,Advent,Fourth Sunday of Advent,Advent 4,1,Violet,,,,,2021,2022,C,2
20/12/2021,violet,Advent,Monday after Fourth Sunday of Advent,Feria,,Violet,,,,,2021,2022,C,2
21/12/2021,red,Advent,St Thomas,Apostle,4,Red,If not kept on 3 July,,,,2021,2022,C,2
22/12/2021,violet,Advent,Wednesday after Fourth Sunday of Advent,Feria,,Violet,,,,,2021,2022,C,2
23/12/2021,violet,Advent,Thursday after Fourth Sunday of Advent,Feria,,Violet,,,,,2021,2022,C,2
24/12/2021,violet,Advent,Christmas Eve,Christmas Vigil,2,Violet,,,,,2021,2022,C,2
25/12/2021,white,Christmas,Christmas Day,The birth of Jesus Christ,1,White,,,,,2021,2022,C,2
26/12/2021,white,Christmas,First Sunday after Christmas,Christmas 1,2,White,,,,,2021,2022,C,2
27/12/2021,white,Christmas,St John,Apostle and Evangelist,4,White,,,,,2021,2022,C,2
28/12/2021,white,Christmas,The Holy Innocents,The massacre of male children under two years in Bethlehem by King&nbsp;Herod the Great,4,White,,,,,2021,2022,C,2
29/12/2021,red,Christmas,St Stephen,Deacon and Martyr,4,Red,Translated from 26 December,,,,2021,2022,C,2
30/12/2021,white,Christmas,Josephine Butler,"Social reformer, 1906",6,White,,,,,2021,2022,C,2
31/12/2021,white,Christmas,John Wycliffe,"Priest, 1384",6,White,,,,,2021,2022,C,2
01/01/2022,white,Christmas,The Naming of Jesus,New Year's Day,2,White,,,,,2021,2022,C,2
02/01/2022,white,Christmas,Second Sunday after Christmas,Christmas 2,3,White,,,,,2021,2022,C,2
03/01/2022,white,Christmas,Monday after Second Sunday after Christmas,Feria,,White,,,,,2021,2022,C,2
04/01/2022,white,Christmas,Tuesday after Second Sunday after Christmas,Feria,,White,,,,,2021,2022,C,2
05/01/2022,white,Christmas,Wednesday after Second Sunday after Christmas,Feria,,White,,,,,2021,2022,C,2
06/01/2022,white,Epiphany,The Epiphany,The manifestation of Jesus Christ to the Gentiles,1,White,,,,,2021,2022,C,2
07/01/2022,white,Epiphany,Friday after the Epiphany,Feria,,White,,,,,2021,2022,C,2
08/01/2022,white,Epiphany,Saturday after the Epiphany,Feria,,White,,,,,2021,2022,C,2
09/01/2022,white,Epiphany,First Sunday after Epiphany,The Baptism of the Lord,2,White,,,,,2021,2022,C,2
10/01/2022,red,Epiphany,William Laud,"Bishop, 1645",6,Red,,,,,2021,2022,C,2
11/01/2022,red,Epiphany,St David,"King of Scots, 1153",6,Red,,,,,2021,2022,C,2
12/01/2022,green,Epiphany,Wednesday after First Sunday after Epiphany,Feria,,Green,,,,,2021,2022,C,2
13/01/2022,white,Epiphany,St Kentigern (or St Mungo),Bishop c.603,4,White,,,,,2021,2022,C,2
14/01/2022,white,Epiphany,St Hilary of Poitiers,"Bishop and Teacher of the Faith, c.367",6,White,,,,,2021,2022,C,2
15/01/2022,green,Epiphany,Saturday after First Sunday after Epiphany,Feria,,Green,,,,,2021,2022,C,2
16/01/2022,green,Epiphany,Second Sunday after Epiphany,Epiphany 2,3,Green,,,,,2021,2022,C,2
17/01/2022,white,Epiphany,St Antony of Egypt,"Abbot, 356",6,White,,,,,2021,2022,C,2
18/01/2022,white,Epiphany,The Confession of St Peter,St Peter proclaims Jesus to be the Christ,6,White,,,,,2021,2022,C,2
19/01/2022,green,Epiphany,Wednesday after Second Sunday after Epiphany,Feria,,Green,,,,,2021,2022,C,2
20/01/2022,green,Epiphany,Thursday after Second Sunday after Epiphany,Feria,,Green,,,,,2021,2022,C,2
21/01/2022,red,Epiphany,St Agnes,"Martyr, c.304",6,Red,,,,,2021,2022,C,2
22/01/2022,green,Epiphany,Saturday after Second Sunday after Epiphany,Feria,,Green,,,,,2021,2022,C,2
23/01/2022,green,Epiphany,Third Sunday after Epiphany,Epiphany 3,3,Green,,,,,2021,2022,C,2
24/01/2022,white,Epiphany,Francis de Sales,"Bishop, 1622",6,White,,,,,2021,2022,C,2
25/01/2022,white,Epiphany,The Conversion of St Paul,Apostle,4,White,,,,,2021,2022,C,2
26/01/2022,white,Epiphany,St Timothy and St Titus,Bishops,6,White,,,,,2021,2022,C,2
27/01/2022,white,Epiphany,St John Chrysostom,"Bishop and Teacher of the Faith, 407",6,White,,,,,2021,2022,C,2
28/01/2022,white,Epiphany,St Thomas Aquinas,"Teacher of the Faith, 1274",6,White,,,,,2021,2022,C,2
29/01/2022,green,Epiphany,Saturday after Third Sunday after Epiphany,Feria,,,,,,,2021,2022,C,2
30/01/2022,green,Epiphany,Fourth Sunday after Epiphany,Epiphany 4,3,Green,,,,,2021,2022,C,2
31/01/2022,red,Epiphany,Charles Mackenzie of Central Africa,"Bishop, Missionary and Martyr, 1862",6,Red,,,,,2021,2022,C,2
01/02/2022,white,Epiphany,St Bride of Kildare,"Abbess, c.525",6,White,,,,,2021,2022,C,2
02/02/2022,white,Epiphany,The Presentation of the Lord,Candlemas,2,White,,,,,2021,2022,C,2
03/02/2022,red,Epiphany,Saints and Martyrs of Europe,,6,Red,,,,,2021,2022,C,2
04/02/2022,green,Epiphany,Friday after Fourth Sunday after Epiphany,Feria,,Green,,,,"Ordination of the Rt Revd Kevin Pearson as Bishop of Glasgow and Galloway 2011â€”translated from Argyll and the Isles, 1 July 2020",2021,2022,C,2
05/02/2022,green,Epiphany,Saturday after Fourth Sunday after Epiphany,Feria,,Green,,,,,2021,2022,C,2
06/02/2022,green,Epiphany,Fifth Sunday after Epiphany,Epiphany 5,3,Green,,,,,2021,2022,C,2
07/02/2022,red,Epiphany,Paul Miki and the Martyrs of Japan,"Priest and Martyrs, 1597",6,Red,Translated from 6 February,,,,2021,2022,C,2
08/02/2022,green,Epiphany,Tuesday after Fifth Sunday after Epiphany,Feria,,Green,,,,,2021,2022,C,2
09/02/2022,green,Epiphany,Wednesday after Fifth Sunday after Epiphany,Feria,,Green,,,,,2021,2022,C,2
10/02/2022,white,Epiphany,St Scholastica,"Religious, 543",6,White,,,,,2021,2022,C,2
11/02/2022,green,Epiphany,Friday after Fifth Sunday after Epiphany,Feria,,Green,,,,,2021,2022,C,2
12/02/2022,green,Epiphany,Saturday after Fifth Sunday after Epiphany,Feria,,Green,,,,,2021,2022,C,2
13/02/2022,green,Epiphany,Sixth Sunday after Epiphany,Epiphany 6,3,Green,,SPB Septuagesima (Violet),,,2021,2022,C,2
14/02/2022,white,Epiphany,St Cyril and St Methodius,"Monk, 869 and Bishop, 885, Apostles of the Slavs",6,White,,,,,2021,2022,C,2
15/02/2022,white,Epiphany,Thomas Bray,"Priest and Missionary, 1730",6,White,,,,,2021,2022,C,2
16/02/2022,green,Epiphany,Wednesday after Sixth Sunday after Epiphany,Feria,,Green,,,,,2021,2022,C,2
17/02/2022,white,Epiphany,St Finan of Lindisfarne,"Bishop, 661",6,White,,,,,2021,2022,C,2
18/02/2022,white,Epiphany,St Colman of Lindisfarne,"Bishop, 676",6,White,,,,,2021,2022,C,2
19/02/2022,white,Epiphany,Martin Luther,"Priest and Reformer, 1546",6,White,,,,,2021,2022,C,2
20/02/2022,green,Epiphany,Seventh Sunday after Epiphany,Epiphany 7,3,Green,,SPB Sexagesima (Violet),,,2021,2022,C,2
21/02/2022,green,Epiphany,Monday after Seventh Sunday after Epiphany,Feria,,Green,,,,,2021,2022,C,2
22/02/2022,green,Epiphany,Tuesday after Seventh Sunday after Epiphany,Feria,,Green,,,,,2021,2022,C,2
23/02/2022,red,Epiphany,St Polycarp of Smyrna,"Bishop and Martyr, c.156",6,Red,,,,,2021,2022,C,2
24/02/2022,green,Epiphany,Thursday after Seventh Sunday after Epiphany,Feria,,Green,,,,,2021,2022,C,2
25/02/2022,green,Epiphany,Friday after Seventh Sunday after Epiphany,Feria,,Green,,,,,2021,2022,C,2
26/02/2022,green,Epiphany,Saturday after Seventh Sunday after Epiphany,Feria,,Green,,,,,2021,2022,C,2
27/02/2022,green,Epiphany,Sunday before Lent,Transfiguration,3,Green,,SPB Quinquagesima (Violet),,,2021,2022,C,2
28/02/2022,green,Epiphany,Monday after Sunday before Lent,Feria,,Green,,,,,2021,2022,C,2
01/03/2022,white,Epiphany,St David,"Bishop and Patron of Wales, c.601",6,White,,,,"Ordination of the Rt Revd Anne Dyer as Bishop of Aberdeen and Orkney, 2018",2021,2022,C,2
02/03/2022,violet,Lent,Ash Wednesday,The beginning of Lent,1,Violet or Lenten Array,,,,,2021,2022,C,2
03/03/2022,white,Lent,John and Charles Wesley,"Priests, 1791 and 1788",6,White,,,,,2021,2022,C,2
04/03/2022,red,Lent,St Adrian of May Island and Companions,"Abbot and Martyrs, 875",6,Red,,,,,2021,2022,C,2
05/03/2022,white,Lent,St Chad of Lichfield,"Bishop, 672",6,White,Translated from 2 March,,,,2021,2022,C,2
06/03/2022,violet,Lent,First Sunday of Lent,Lent 1,1,Violet or Lenten Array,,,,,2021,2022,C,2
07/03/2022,red,Lent,St Perpetua and her Companions,"Martyrs, 203",6,Red,,,,,2021,2022,C,2
08/03/2022,white,Lent,St Duthac,"Bishop, 1068",6,White,,,,,2021,2022,C,2
09/03/2022,white,Lent,St Baldred,"Bishop, 608 [6] White",6,White,Translated from 6 March,,Ember Day,,2021,2022,C,2
10/03/2022,red,Lent,St Kessog,"Bishop, c.700",6,Red,,,,,2021,2022,C,2
11/03/2022,violet,Lent,Friday after First Sunday of Lent,Feria,,Violet or Lenten Array,,,Ember Day,,2021,2022,C,2
12/03/2022,violet,Lent,Saturday after First Sunday of Lent,Feria,,Violet or Lenten Array,,,Ember Day,,2021,2022,C,2
13/03/2022,violet,Lent,Second Sunday of Lent,Lent 2,1,Violet or Lenten Array,,,,,2021,2022,C,2
14/03/2022,violet,Lent,Monday after Second Sunday of Lent,Feria,,Violet or Lenten Array,,,,,2021,2022,C,2
15/03/2022,violet,Lent,Tuesday after Second Sunday of Lent,Feria,,Violet or Lenten Array,,,,,2021,2022,C,2
16/03/2022,white,Lent,St Boniface of Ross,"Bishop, 8th century",6,White,,,,,2021,2022,C,2
17/03/2022,white,Lent,St Patrick,"Bishop and Patron of Ireland, c.461",4,White,,,,,2021,2022,C,2
18/03/2022,white,Lent,St Cyril of Jerusalem,"Bishop and Teacher of the Faith, 386",6,White,,,,,2021,2022,C,2
19/03/2022,white,Lent,St Joseph of Nazareth,Husband of St Mary,4,White,,,,,2021,2022,C,2
20/03/2022,violet,Lent,Third Sunday of Lent,Lent 3,1,Violet or Lenten Array,,,,,2021,2022,C,2
21/03/2022,red,Lent,Thomas Cranmer,"Bishop, 1556",6,Red,,,,,2021,2022,C,2
22/03/2022,white,Lent,Thomas Ken,"Bishop, 1711",6,White,,,,,2021,2022,C,2
23/03/2022,white,Lent,St Cuthbert,"Bishop, 687",6,White,Translated from 20 March,,,,2021,2022,C,2
24/03/2022,white,Lent,Paul Couturier,"Priest, 1953",6,White,,,,,2021,2022,C,2
25/03/2022,white,Lent,The Annunciation of the Lord,,2,White,,,,,2021,2022,C,2
26/03/2022,violet,Lent,Saturday after Third Sunday of Lent,Feria,,Violet or Lenten Array,,,,,2021,2022,C,2
27/03/2022,violet,Lent,Fourth Sunday of Lent,Lent 4 (Mothering Sunday),1,Violet or Lenten Array,,,,,2021,2022,C,2
28/03/2022,white,Lent,Patrick Forbes and the Aberdeen Doctors,"Bishop, 1635 and Teachers of the Faith",6,White,,,,,2021,2022,C,2
29/03/2022,white,Lent,John Keble,"Priest, 1866",6,White,,,,,2021,2022,C,2
30/03/2022,violet,Lent,Wednesday after Fourth Sunday of Lent,Feria,,Violet or Lenten Array,,,,,2021,2022,C,2
31/03/2022,violet,Lent,Thursday after Fourth Sunday of Lent,Feria,,Violet or Lenten Array,,,,,2021,2022,C,2
01/04/2022,white,Lent,St Gilbert of Caithness,"Bishop, 1245",6,White,,,,,2021,2022,C,2
02/04/2022,violet,Lent,Saturday after Fourth Sunday of Lent,Feria,,Violet or Lenten Array,,,,,2021,2022,C,2
03/04/2022,violet,Passiontide,Fifth Sunday of Lent,Passion Sunday: The beginning of Passiontide,1,Violet or Lenten Array,,,,,2021,2022,C,2
04/04/2022,violet,Passiontide,Monday after Fifth Sunday of Lent,Feria,,Violet or Lenten Array,,,,,2021,2022,C,2
05/04/2022,violet,Passiontide,Tuesday after Fifth Sunday of Lent,Feria,,Violet or Lenten Array,,,,,2021,2022,C,2
06/04/2022,violet,Passiontide,Wednesday after Fifth Sunday of Lent,Feria,,Violet or Lenten Array,,,,,2021,2022,C,2
07/04/2022,violet,Passiontide,Thursday after Fifth Sunday of Lent,Feria,,Violet or Lenten Array,,,,,2021,2022,C,2
08/04/2022,violet,Passiontide,Friday after Fifth Sunday of Lent,Feria,,Violet or Lenten Array,,,,,2021,2022,C,2
09/04/2022,red,Passiontide,Dietrich Bonhoeffer,"Theologian and Martyr, 1945",6,Red,,,,,2021,2022,C,2
10/04/2022,red,Holy Week,The Sunday of the Passion,Palm Sunday: The beginning of Holy Week,1,Red or Violet,,,,,2021,2022,C,2
11/04/2022,red,Holy Week,Monday of Holy Week,,1,Red or Violet,,,,,2021,2022,C,2
12/04/2022,red,Holy Week,Tuesday of Holy Week,,1,Red or Violet,,,,,2021,2022,C,2
13/04/2022,red,Holy Week,Wednesday of Holy Week,,1,Red or Violet,,,,,2021,2022,C,2
14/04/2022,white,Holy Week,Maundy Thursday,Paschal Triduum,1,White at the Eucharist,,,,,2021,2022,C,2
15/04/2022,red,Holy Week,Good Friday,Paschal Triduum,1,Red for the Liturgy; Hangings removed,,,,,2021,2022,C,2
16/04/2022,white,Holy Week,Holy Saturday,Paschal Triduum: Easter Eve,1,Hangings removed; White at the Easter Vigil,,,,,2021,2022,C,2
17/04/2022,white,Easter,Easter Day,Alleluia! Christ is risen!,1,White,,,,,2021,2022,C,2
18/04/2022,white,Easter,Monday of Easter week,Easter week,,White,,,,,2021,2022,C,2
19/04/2022,white,Easter,Tuesday of Easter week,Easter week,,White,,,,,2021,2022,C,2
20/04/2022,white,Easter,Wednesday of Easter week,Easter week,,White,,,,,2021,2022,C,2
21/04/2022,white,Easter,Thursday of Easter week,Easter week,,White,,,,,2021,2022,C,2
22/04/2022,white,Easter,Friday of Easter week,Easter week,,White,,,,,2021,2022,C,2
23/04/2022,white,Easter,Saturday of Easter week,Easter week,,White,,,,,2021,2022,C,2
24/04/2022,white,Easter,Second Sunday of Easter,Easter 2,1,White,,SPB First Sunday after Easter,,,2021,2022,C,2
25/04/2022,white,Easter,St Mark,Evangelist,4,Red,,,,,2021,2022,C,2
26/04/2022,white,Easter,Albert Ernest Laurie,"Priest, 1937",6,White,,,,,2021,2022,C,2
27/04/2022,white,Easter,Wednesday after Second Sunday of Easter,Feria,,White,,,,,2021,2022,C,2
28/04/2022,white,Easter,Thursday after Second Sunday of Easter,Feria,,White,,,,,2021,2022,C,2
29/04/2022,white,Easter,St Catherine of Siena,"Mystic and Teacher of the Faith, 1380",6,White,,,,,2021,2022,C,2
30/04/2022,white,Easter,Saturday after Second Sunday of Easter,Feria,,White,,,,,2021,2022,C,2
01/05/2022,white,Easter,Third Sunday of Easter,Easter 3,1,White,,SPB Second Sunday after Easter,,"Consecretion of the Rt Rev Dr Keith Riglin as the Bishop of Argyll and the Isles, 2021",2021,2022,C,2
02/05/2022,red,Easter,St Philip and St James,Apostles,4,Red,Translated from 1 May,,,,2021,2022,C,2
03/05/2022,white,Easter,St Athanasius,"Bishop and Teacher of the Faith, 373",6,White,Translated from 2 May,,,,2021,2022,C,2
04/05/2022,white,Easter,Wednesday after Third Sunday of Easter,Feria,,White,,,,,2021,2022,C,2
05/05/2022,white,Easter,Thursday after Third Sunday of Easter,Feria,,White,,,,,2021,2022,C,2
06/05/2022,white,Easter,Friday after Third Sunday of Easter,Feria,,White,,,,,2021,2022,C,2
07/05/2022,white,Easter,Saturday after Third Sunday of Easter,Feria,,White,,,,,2021,2022,C,2
08/05/2022,white,Easter,Fourth Sunday of Easter,Easter 4 (Vocations Sunday),1,White,,SPB Third Sunday after Easter,,,2021,2022,C,2
09/05/2022,white,Easter,St Julian of Norwich,"Theologian, Anchoress and Mystic, c.1417",6,White,Translated from 8 May,,,,2021,2022,C,2
10/05/2022,white,Easter,Tuesday after Fourth Sunday of Easter,Feria,,White,,,,,2021,2022,C,2
11/05/2022,white,Easter,Wednesday after Fourth Sunday of Easter,Feria,,White,,,,,2021,2022,C,2
12/05/2022,white,Easter,Thomas Rattray,"Bishop, 1743",6,White,,,,,2021,2022,C,2
13/05/2022,white,Easter,Friday after Fourth Sunday of Easter,Feria,,White,,,,,2021,2022,C,2
14/05/2022,red,Easter,St Matthias,Apostle,4,Red,,,,,2021,2022,C,2
15/05/2022,white,Easter,Fifth Sunday of Easter,Easter 5,1,White,,SPB Fourth Sunday after Easter,,,2021,2022,C,2
16/05/2022,white,Easter,Monday after Fifth Sunday of Easter,Feria,,White,,,,,2021,2022,C,2
17/05/2022,white,Easter,Tuesday after Fifth Sunday of Easter,Feria,,White,,,,,2021,2022,C,2
18/05/2022,white,Easter,Wednesday after Fifth Sunday of Easter,Feria,,White,,,,,2021,2022,C,2
19/05/2022,white,Easter,Thursday after Fifth Sunday of Easter,Feria,,White,,,,,2021,2022,C,2
20/05/2022,white,Easter,Friday after Fifth Sunday of Easter,Feria,,White,,,,,2021,2022,C,2
